utc,open,close,high,low,volume
2023-10-10T18:20:00.000000,1.36,1.36,1.36,1.36,2
2023-10-10T18:30:00.000000,1.36,1.36,1.36,1.35,219
2023-10-10T18:40:00.000000,1.36,1.35,1.36,1.35,130
2023-10-10T18:50:00.000000,1.35,1.35,1.35,1.35,1
2023-10-10T19:00:00.000000,1.35,1.35,1.36,1.35,593
2023-10-10T19:10:00.000000,1.35,1.35,1.35,1.35,645
2023-10-10T19:20:00.000000,1.35,1.35,1.35,1.35,5500
2023-10-10T19:30:00.000000,1.34,1.35,1.36,1.34,2389
2023-10-10T19:40:00.000000,1.35,1.38,1.38,1.35,3928
2023-10-10T19:50:00.000000,1.37,1.32,1.4,1.32,11503
2023-10-10T20:00:00.000000,1.31,1.37,1.38,1.29,54374
2023-10-10T20:10:00.000000,1.37,1.38,1.38,1.37,2
2023-10-10T20:20:00.000000,1.37,1.35,1.37,1.35,370
2023-10-10T21:00:00.000000,1.35,1.35,1.35,1.35,6
2023-10-10T21:10:00.000000,1.36,1.38,1.38,1.36,120
2023-10-10T21:20:00.000000,1.37,1.37,1.37,1.37,1
2023-10-10T21:30:00.000000,1.37,1.37,1.37,1.37,1
2023-10-10T21:50:00.000000,1.36,1.36,1.36,1.36,1
2023-10-10T22:20:00.000000,1.38,1.38,1.38,1.38,15
2023-10-11T11:30:00.000000,1.41,1.42,1.42,1.41,705
2023-10-11T11:40:00.000000,1.42,1.38,1.42,1.35,1654
2023-10-11T11:50:00.000000,1.38,1.4,1.4,1.38,134
2023-10-11T12:00:00.000000,1.4,1.4,1.4,1.38,131
2023-10-11T12:10:00.000000,1.4,1.43,1.43,1.39,716
2023-10-11T12:20:00.000000,1.42,1.42,1.42,1.42,109
2023-10-11T12:30:00.000000,1.42,1.42,1.42,1.42,53
2023-10-11T12:40:00.000000,1.42,1.42,1.42,1.42,189
2023-10-11T12:50:00.000000,1.39,1.39,1.39,1.39,1
2023-10-11T13:00:00.000000,1.39,1.4,1.4,1.39,11
2023-10-11T13:10:00.000000,1.4,1.4,1.4,1.4,1
2023-10-11T13:20:00.000000,1.39,1.39,1.41,1.39,93
2023-10-11T13:30:00.000000,1.35,1.36,1.38,1.35,3112
2023-10-11T13:40:00.000000,1.36,1.28,1.36,1.27,11043
2023-10-11T13:50:00.000000,1.26,1.15,1.28,1.14,44038
2023-10-11T14:00:00.000000,1.15,1.19,1.19,1.15,33415
2023-10-11T14:10:00.000000,1.19,1.2,1.25,1.18,26300
2023-10-11T14:20:00.000000,1.2,1.2,1.21,1.16,58785
2023-10-11T14:30:00.000000,1.18,1.2,1.2,1.17,3436
2023-10-11T14:40:00.000000,1.21,1.23,1.24,1.19,8617
2023-10-11T14:50:00.000000,1.23,1.18,1.23,1.18,702
2023-10-11T15:00:00.000000,1.19,1.19,1.19,1.18,1178
2023-10-11T15:10:00.000000,1.18,1.18,1.19,1.17,7679
2023-10-11T15:20:00.000000,1.18,1.11,1.18,1.1,16932
2023-10-11T15:30:00.000000,1.11,1.09,1.12,1.09,16827
2023-10-11T15:40:00.000000,1.09,1.08,1.1,1.05,42301
2023-10-11T15:50:00.000000,1.09,1.06,1.09,1.05,51155
2023-10-11T16:00:00.000000,1.06,1.04,1.06,1.02,12908
2023-10-11T16:10:00.000000,1.04,1.02,1.04,1.02,3003
2023-10-11T16:20:00.000000,1.04,1.03,1.04,1.01,11959
2023-10-11T16:30:00.000000,1.03,1.02,1.04,1.01,80433
2023-10-11T16:40:00.000000,1.02,1.02,1.03,1.01,16464
2023-10-11T16:50:00.000000,1.02,1.03,1.04,1.01,16908
2023-10-11T17:00:00.000000,1.04,1.02,1.04,1.01,9672
2023-10-11T17:10:00.000000,1.02,1.02,1.02,1.01,8582
2023-10-11T17:20:00.000000,1.02,1.01,1.03,1.0,6919
2023-10-11T17:30:00.000000,1.01,1.01,1.01,1.0,3875
2023-10-11T17:40:00.000000,1.01,1.01,1.01,1.0,1758
2023-10-11T17:50:00.000000,1.0,1.01,1.01,1.0,8122
2023-10-11T18:00:00.000000,1.0,1.0,1.02,1.0,9563
2023-10-11T18:10:00.000000,1.01,1.0,1.01,1.0,3689
2023-10-11T18:20:00.000000,1.0,1.01,1.01,1.0,5771
2023-10-11T18:30:00.000000,1.01,1.01,1.01,1.0,3314
2023-10-11T18:40:00.000000,1.01,1.01,1.01,1.0,1240
2023-10-11T18:50:00.000000,1.0,1.01,1.01,1.0,10508
2023-10-11T19:00:00.000000,1.0,1.01,1.01,1.0,619
2023-10-11T19:10:00.000000,1.0,1.01,1.01,1.0,4364
2023-10-11T19:20:00.000000,1.0,1.0,1.01,0.99,14427
2023-10-11T19:30:00.000000,1.0,0.99,1.0,0.99,6534
2023-10-11T19:40:00.000000,1.0,1.0,1.0,0.99,1225
2023-10-11T19:50:00.000000,1.0,0.99,1.01,0.98,12940
2023-10-11T20:00:00.000000,0.99,0.99,0.99,0.98,25634
2023-10-11T20:10:00.000000,0.98,1.0,1.0,0.98,2916
2023-10-11T20:20:00.000000,1.0,1.0,1.0,0.99,77
2023-10-11T20:30:00.000000,1.0,1.0,1.0,1.0,155
2023-10-11T20:40:00.000000,0.99,1.0,1.0,0.99,518
2023-10-11T20:50:00.000000,1.0,1.0,1.0,0.99,339
2023-10-11T21:00:00.000000,1.0,0.99,1.0,0.99,326
2023-10-11T21:10:00.000000,0.99,0.99,1.0,0.99,26
2023-10-11T21:20:00.000000,0.99,1.0,1.0,0.99,537
2023-10-11T21:30:00.000000,1.0,1.0,1.0,1.0,1
2023-10-11T21:40:00.000000,1.0,1.0,1.0,1.0,175
2023-10-11T21:50:00.000000,1.0,0.99,1.0,0.99,1795
2023-10-11T22:00:00.000000,0.99,0.99,1.0,0.99,1533
2023-10-11T22:10:00.000000,0.99,0.99,0.99,0.99,80
2023-10-11T22:20:00.000000,0.99,0.99,0.99,0.99,407
2023-10-11T22:30:00.000000,0.99,0.99,0.99,0.99,85
2023-10-11T22:40:00.000000,1.0,1.0,1.0,1.0,1321
2023-10-12T11:30:00.000000,1.0,1.0,1.0,1.0,2727
2023-10-12T11:40:00.000000,1.0,1.0,1.0,0.99,2648
2023-10-12T11:50:00.000000,1.0,1.0,1.0,0.99,1699
2023-10-12T12:00:00.000000,1.0,1.0,1.0,1.0,732
2023-10-12T12:10:00.000000,1.0,1.0,1.0,0.99,586
2023-10-12T12:20:00.000000,1.0,1.0,1.0,1.0,1027
2023-10-12T12:30:00.000000,0.99,0.98,1.0,0.98,4346
2023-10-12T12:40:00.000000,0.98,0.99,0.99,0.98,5479
2023-10-12T12:50:00.000000,0.99,0.99,0.99,0.98,981
2023-10-12T13:00:00.000000,0.99,1.0,1.0,0.97,3463
2023-10-12T13:10:00.000000,1.0,1.0,1.0,0.99,673
2023-10-12T13:20:00.000000,1.0,1.0,1.0,0.99,406
2023-10-12T13:30:00.000000,1.0,0.96,1.0,0.96,20496
2023-10-12T13:40:00.000000,0.96,0.93,0.96,0.91,24027
2023-10-12T13:50:00.000000,0.93,0.94,0.95,0.92,17457
2023-10-12T14:00:00.000000,0.95,0.95,0.96,0.94,67981
