iter	Passed	Remaining
740	7974	99641
741	7983	99612
742	7993	99585
743	8002	99558
744	8012	99536
745	8021	99509
746	8032	99496
747	8042	99473
748	8052	99454
749	8062	99433
750	8071	99399
751	8080	99371
752	8090	99347
753	8102	99357
754	8113	99346
755	8123	99335
756	8133	99313
757	8143	99296
758	8153	99266
759	8163	99249
760	8172	99224
761	8181	99192
762	8192	99178
763	8201	99151
764	8211	99131
765	8221	99114
766	8231	99094
767	8241	99070
768	8250	99041
769	8261	99033
770	8273	99032
771	8284	99029
772	8297	99048
773	8346	99492
774	8378	99733
775	8399	99837
776	8411	99844
777	8422	99841
778	8432	99815
779	8443	99806
780	8454	99794
781	8464	99776
782	8475	99765
783	8486	99765
784	8497	99751
785	8509	99757
786	8520	99746
787	8530	99721
788	8541	99713
789	8550	99688
790	8561	99673
791	8572	99660
792	8582	99649
793	8595	99658
794	8607	99668
795	8618	99652
796	8628	99638
797	8640	99634
798	8650	99615
799	8660	99597
800	8670	99580
801	8681	99568
802	8691	99550
803	8702	99534
804	8712	99513
805	8722	99497
806	8733	99491
807	8743	99471
808	8754	99457
809	8765	99446
810	8775	99428
811	8785	99412
812	8795	99387
813	8805	99375
814	8815	99350
815	8826	99344
816	8842	99389
817	8853	99378
818	8863	99355
819	8872	99324
820	8883	99316
821	8895	99317
822	8907	99322
823	8920	99333
824	8930	99317
825	8940	99297
826	8951	99286
827	8961	99268
828	8971	99245
829	8980	99222
830	8990	99199
831	9001	99188
832	9011	99165
833	9020	99134
834	9030	99118
835	9040	99096
836	9050	99078
837	9060	99054
838	9069	99033
839	9079	99009
840	9089	98987
841	9100	98976
842	9110	98960
843	9119	98927
844	9128	98901
845	9137	98875
846	9148	98860
847	9158	98838
848	9167	98812
849	9178	98799
850	9187	98771
851	9197	98753
852	9207	98733
853	9217	98710
854	9227	98692
855	9236	98669
856	9247	98659
857	9257	98639
858	9267	98614
859	9276	98593
860	9289	98604
861	9299	98586
862	9310	98574
863	9319	98548
864	9330	98532
865	9339	98512
866	9349	98487
867	9359	98465
868	9367	98431
869	9377	98413
870	9388	98399
871	9397	98376
872	9407	98350
873	9415	98316
874	9425	98298
875	9435	98280
876	9445	98260
877	9455	98242
878	9465	98222
879	9476	98215
880	9486	98195
881	9495	98166
882	9505	98147
883	9515	98121
884	9526	98114
885	9536	98097
886	9545	98067
887	9554	98044
888	9563	98016
889	9574	98003
890	9583	97972
891	9592	97949
892	9602	97923
893	9611	97901
894	9621	97885
895	9631	97866
896	9642	97851
897	9652	97840
898	9663	97823
899	9673	97812
900	9686	97818
901	9696	97799
902	9706	97789
903	9717	97774
904	9727	97755
905	9737	97737
906	9747	97726
907	9757	97701
908	9766	97679
909	9777	97663
910	9786	97640
911	9796	97624
912	9806	97605
913	9816	97582
914	9826	97563
915	9834	97532
916	9846	97534
917	9858	97531
918	9867	97508
919	9879	97501
920	9890	97498
921	9901	97491
922	9912	97481
923	9922	97465
924	9932	97449
925	9942	97431
926	9952	97406
927	9961	97385
928	9972	97369
929	9982	97354
930	9992	97338
931	10001	97311
932	10012	97300
933	10022	97283
934	10031	97258
935	10042	97248
936	10053	97236
937	10062	97210
938	10073	97204
939	10085	97204
940	10095	97185
941	10106	97178
942	10117	97175
943	10128	97160
944	10137	97141
945	10147	97118
946	10157	97100
947	10167	97082
948	10177	97066
949	10187	97047
950	10196	97023
951	10207	97011
952	10216	96990
953	10226	96965
954	10237	96957
955	10246	96932
956	10256	96920
957	10266	96898
958	10276	96879
959	10286	96863
960	10294	96832
961	10307	96836
962	10318	96831
963	10328	96813
964	10342	96832
965	10352	96812
966	10361	96794
967	10372	96784
968	10385	96788
969	10395	96772
970	10405	96757
971	10415	96738
972	10425	96719
973	10437	96720
974	10446	96696
975	10456	96677
976	10468	96676
977	10481	96688
978	10493	96690
979	10504	96682
980	10514	96670
981	10524	96648
982	10534	96632
983	10544	96619
984	10554	96600
985	10564	96580
986	10575	96573
987	10586	96562
988	10595	96541
989	10605	96517
990	10615	96502
991	10624	96476
992	10635	96472
993	10647	96467
994	10656	96445
995	10667	96434
996	10677	96421
997	10686	96394
998	10696	96372
999	10704	96337
1000	10713	96310
1001	10721	96279
1002	10731	96260
1003	10740	96232
1004	10749	96208
1005	10758	96184
1006	10767	96159
1007	10776	96134
1008	10786	96116
1009	10796	96099
1010	10804	96066
1011	10815	96053
1012	10825	96036
1013	10833	96002
1014	10843	95986
1015	10852	95960
1016	10864	95961
1017	10874	95947
1018	10882	95915
1019	10892	95897
1020	10902	95879
1021	10912	95860
1022	10920	95829
1023	10928	95798
1024	10939	95785
1025	10951	95786
1026	10961	95773
1027	10971	95754
1028	10979	95725
1029	10989	95701
1030	10998	95675
1031	11007	95656
1032	11016	95630
1033	11026	95613
1034	11034	95582
1035	11044	95564
1036	11054	95547
1037	11064	95527
1038	11073	95509
1039	11082	95480
1040	11092	95466
1041	11102	95443
1042	11110	95414
1043	11120	95395
1044	11128	95367
1045	11139	95354
1046	11216	95916
1047	11226	95897
1048	11237	95886
1049	11247	95869
1050	11258	95861
1051	11271	95869
1052	11284	95878
1053	11296	95878
1054	11307	95872
1055	11317	95852
1056	11325	95825
1057	11335	95809
1058	11345	95786
1059	11356	95777
1060	11365	95759
1061	11375	95735
1062	11385	95723
1063	11395	95706
1064	11406	95696
1065	11416	95681
1066	11426	95664
1067	11436	95646
1068	11445	95624
1069	11456	95611
1070	11466	95598
1071	11476	95578
1072	11486	95566
1073	11496	95548
1074	11507	95537
1075	11517	95520
1076	11527	95505
1077	11537	95487
1078	11547	95470
1079	11556	95448
1080	11567	95436
1081	11576	95411
1082	11586	95401
1083	11597	95386
1084	11605	95360
1085	11615	95343
1086	11625	95320
1087	11635	95307
1088	11645	95290
1089	11654	95270
1090	11665	95255
1091	11678	95267
1092	11688	95248
1093	11699	95242
1094	11708	95216
1095	11718	95201
1096	11727	95181
1097	11738	95165
1098	11748	95151
1099	11758	95137
1100	11767	95113
1101	11777	95096
1102	11785	95067
1103	11796	95056
1104	11806	95041
1105	11816	95021
1106	11826	95007
1107	11836	94988
1108	11845	94970
1109	11856	94956
1110	11865	94937
1111	11876	94922
1112	11885	94900
1113	11894	94882
1114	11904	94858
1115	11914	94848
1116	11925	94834
1117	11935	94818
1118	11947	94823
1119	11956	94801
1120	11967	94790
1121	11977	94774
1122	11987	94754
1123	11998	94746
1124	12008	94730
1125	12017	94711
1126	12027	94696
1127	12037	94674
1128	12047	94659
1129	12057	94645
1130	12067	94629
1131	12080	94637
1132	12090	94623
1133	12100	94604
1134	12113	94615
1135	12127	94626
1136	12139	94625
1137	12151	94624
1138	12162	94622
1139	12174	94623
1140	12191	94654
1141	12204	94666
1142	12219	94686
1143	12234	94708
1144	12246	94710
1145	12259	94716
1146	12270	94710
1147	12283	94717
1148	12296	94719
1149	12308	94721
1150	12321	94731
1151	12334	94734
1152	12345	94729
1153	12357	94726
1154	12369	94724
1155	12380	94714
1156	12391	94704
1157	12401	94695
1158	12413	94691
1159	12425	94688
1160	12437	94688
1161	12448	94683
1162	12460	94679
1163	12473	94690
1164	12485	94682
1165	12496	94674
1166	12508	94680
1167	12522	94688
1168	12532	94676
1169	12544	94672
1170	12555	94666
1171	12566	94653
1172	12577	94651
1173	12589	94644
1174	12599	94632
1175	12611	94629
