datetime,budget,strategy
2024-07-16 13:04:00,11681.179522666684,wait
2024-07-16 13:05:00,11681.179522666684,wait
2024-07-16 13:06:00,11681.179522666684,wait
2024-07-16 13:07:00,11681.179522666684,wait
2024-07-16 13:09:00,11681.179522666684,wait
2024-07-16 13:10:00,11681.179522666684,wait
2024-07-16 13:11:00,11681.179522666684,wait
2024-07-16 13:12:00,11681.179522666684,wait
2024-07-16 13:13:00,11681.179522666684,wait
2024-07-16 13:14:00,11681.179522666684,wait
2024-07-16 13:15:00,11681.179522666684,wait
2024-07-16 13:16:00,11681.179522666684,wait
2024-07-16 13:17:00,11681.179522666684,wait
2024-07-16 13:18:00,11681.179522666684,wait
2024-07-16 13:19:00,11681.179522666684,wait
2024-07-16 13:20:00,11681.179522666684,wait
2024-07-16 13:21:00,11681.179522666684,wait
2024-07-16 13:22:00,11681.179522666684,wait
2024-07-16 13:23:00,11681.179522666684,wait
2024-07-16 13:24:00,11681.179522666684,wait
2024-07-16 13:25:00,11681.179522666684,wait
2024-07-16 13:26:00,11681.179522666684,wait
2024-07-16 13:27:00,11681.179522666684,wait
2024-07-16 13:28:00,11681.179522666684,wait
2024-07-16 13:29:00,11681.179522666684,wait
2024-07-16 13:30:00,11681.179522666684,wait
2024-07-16 13:31:00,11681.179522666684,wait
2024-07-16 13:32:00,11681.179522666684,wait
2024-07-16 13:33:00,11681.179522666684,wait
2024-07-16 13:34:00,11681.179522666684,wait
2024-07-16 13:35:00,11681.179522666684,wait
2024-07-16 13:36:00,11681.179522666684,wait
2024-07-16 13:37:00,11681.179522666684,wait
2024-07-16 13:38:00,11681.179522666684,wait
2024-07-16 13:39:00,11681.179522666684,wait
2024-07-16 13:40:00,11681.179522666684,wait
2024-07-16 13:41:00,11681.179522666684,wait
2024-07-16 13:42:00,11681.179522666684,wait
2024-07-16 13:43:00,11681.179522666684,wait
2024-07-16 13:44:00,11681.179522666684,wait
2024-07-16 13:45:00,11681.179522666684,wait
2024-07-16 13:46:00,11681.179522666684,wait
2024-07-16 13:47:00,11681.179522666684,wait
2024-07-16 13:48:00,11681.179522666684,wait
2024-07-16 13:49:00,11681.179522666684,wait
2024-07-16 13:50:00,11681.179522666684,wait
